name,abbrv,color,coauthored
Ido Tal,I. Tal,#d3d3d3,1
Tuvi Etzion,T. Etzion,#d3d3d3,1
Ron Roth,R. Roth,#00bfff,1
Avinoam Kolodny,A. Kolodny,#d3d3d3,1
Idit Keidar,I. Keidar,#00bfff,1
Uri Weiser,U. Weiser,#00bfff,1
Isaac Keslassy,I. Keslassy,#00bfff,1
Shahar Kvatinsky,S. Kvatinsky,#00bfff,1
Israel Cidon,I. Cidon,#00bfff,1
Eitan Yaakobi,E. Yaakobi,#00bfff,1
Shie Mannor,S. Mannor,#32CD32,1
Koby Crammer,K. Crammer,#32CD32,1
Ran El-Yaniv,R. El-Yaniv,#32CD32,1
Ariel Orda,A. Orda,#00bfff,1
Yoav Etsion,Y. Etsion,#00bfff,1
Alfred Bruckstein,A. Bruckstein,#32CD32,1
Eran Yahav,E. Yahav,#00bfff,1
Benny Kimelfeld,B. Kimelfeld,#00bfff,1
Nader Bshouty,N. Bshouty,#32CD32,1
Michael Kaminski,M. Kaminski,#d3d3d3,1
Irad Yavneh,I. Yavneh,#ffc0cb,1
Michael Elad,M. Elad,#32CD32,1
Alexander Bronstein,A. Bronstein,#32CD32,1
Ron Kimmel,R. Kimmel,#32CD32,1
Reuven Bar-Yehuda,R. Bar-Yehuda,#d3d3d3,1
Ehud Rivlin,E. Rivlin,#ffc0cb,1
Danny Raz,D. Raz,#00bfff,1
Hagit Attiya,H. Attiya,#00bfff,1
Dan Geiger,D. Geiger,#ffc0cb,1
Mark Silberstein,M. Silberstein,#00bfff,1
Assaf Schuster,A. Schuster,#00bfff,1
Eli Biham,E. Biham,#ffff00,1
Yuval Ishai,Y. Ishai,#ffff00,1
Tal Mor,T. Mor,#d3d3d3,1
Moshe Sidi,M. Sidi,#00bfff,1
Keren Censor-Hillel,K. Censor-Hillel,#ffff00,1
Hadas Shachnai,H. Shachnai,#ffff00,1
Yuval Filmus,Y. Filmus,#ffff00,0
Yoav Schechner,Y. Schechner,#32CD32,1
Oded Shmueli,O. Shmueli,#d3d3d3,1
Craig Gotsman,C. Gotsman,#ffc0cb,1
Mirela Ben-Chen,M. Ben-Chen,#ffc0cb,1
Gershon Elber,G. Elber,#ffc0cb,1
Gill Barequet,G. Barequet,#d3d3d3,1
David Malah,D. Malah,#d3d3d3,0
Johann Makowsky,J. Makowsky,#d3d3d3,1
Michael Lindenbaum,M. Lindenbaum,#32CD32,1
Shaul Markovitch,S. Markovitch,#32CD32,1
Roy Schwartz,R. Schwartz,#ffff00,1
Joseph Naor,J. Naor,#ffff00,1
Ron Pinter,R. Pinter,#ffc0cb,1
Adrian Segall,A. Segall,#d3d3d3,0
Ilan Cohen,I. Cohen,#ffff00,1
Eldar Fischer,E. Fischer,#ffff00,1
Johann Makowsky,J. Makowsky,#d3d3d3,1
Erez Petrank,E. Petrank,#00bfff,1
Shmuel Zaks,S. Zaks,#00bfff,1
Lihi Zelnik-Manor,L. Zelnik-Manor,#32CD32,1
Ayellet Tal,A. Tal,#32CD32,1
Eli Ben-Sasson,E. Ben-Sasson,#ffff00,1
Tomer Shlomi,T. Shlomi,#ffc0cb,1
Nir Ailon,N. Ailon,#32CD32,0
Orna Grumberg,O. Grumberg,#ffff00,1
Yitzhak Birk,Y. Birk,#00bfff,1
Eyal Kushilevitz,E. Kushilevitz,#ffff00,1
Dan Tsafrir,D. Tsafrir,#00bfff,1
Joseph Gil,J. Gil,#d3d3d3,0
Yoram Moses,Y. Moses,#32CD32,0
Reuven Cohen,R. Cohen,#00bfff,1
Roy Friedman,R. Friedman,#00bfff,0
Neri Merhav,N. Merhav,#d3d3d3,0
