name,color
Yang Wang,#32CD32
Raymond Wong,#32CD32
Arcot Sowmya,#00bfff
Chun Chou,#00bfff
Wei 0011,#00bfff
Bernhard Hengst,#ffc0cb
Hye-Young Paik,#d3d3d3
Boualem Benatallah,#32CD32
Mahbub Hassan,#d3d3d3
John Shepherd,#32CD32
Fethi Rabhi,#d3d3d3
Hui Wu,#00bfff
Peng Di,#d3d3d3
Jingling Xue,#00bfff
Salil Kanhere,#00bfff
Sri Parameswaran,#00bfff
Kai Engelhardt,#00bfff
Kevin Elphinstone,#00bfff
Gernot Heiser,#00bfff
Ron van der Meyden,#32CD32
Lingkan Gong,#d3d3d3
Oliver Diessel,#d3d3d3
David Rajaratnam,#32CD32
Maurice Pagnucco,#32CD32
Michael Thielscher,#32CD32
Claude Sammut,#ffc0cb
Abdallah Saffidine,#32CD32
Lijun Chang,#00bfff
Wenjie Zhang,#00bfff
Xuemin Lin,#00bfff
Fethi Rabhi,#d3d3d3
Jing-Ling Xue,#d3d3d3
Toby Walsh,#32CD32
Serge Gaspers,#32CD32
Seyed-Mehdi-Reza Beheshti,#00bfff
Lina Yao,#ffc0cb
Moshe Barukh,#d3d3d3
Aleksandar Ignjatovic,#00bfff
Eric Martin,#d3d3d3
Wen Hu,#00bfff
Sanjay Jha,#00bfff
Hailun Tan,#d3d3d3
Zengfeng Huang,#00bfff
Jianbin Qin,#00bfff
Gabriele Keller,#00bfff
Trevor McDonell,#d3d3d3
Andrew Taylor,#d3d3d3
Sara Khalifa,#d3d3d3
Eric Martin,#d3d3d3
Yue Li,#ffc0cb
Yulei Sui,#00bfff
Bruno Gaëta,#ffc0cb
Michael Bain,#32CD32
Wayne Wobcke,#32CD32
Alfred Krzywicki,#32CD32
Nadine Marcus,#d3d3d3
Jorgen Peddersen,#00bfff
Hui Guo,#ffc0cb
Haseeb Bokhari,#00bfff
William Wilson,#d3d3d3
Eisa Zarepour,#d3d3d3
Edwin Bonilla,#32CD32
Bruno Gaëta,#d3d3d3
Alan Blair,#32CD32
Ding Ye,#d3d3d3
Bradford Heap,#32CD32
Alan Blair,#ffc0cb
Xin Cao,#00bfff
Michael Gratton,#32CD32
Carroll Morgan,#ffff00
Angela Finlayson,#d3d3d3
Victor Jauregui,#32CD32
Richard Buckland,#d3d3d3
